text,label
"Rejoignez notre combat pour la liberté, nous devons nous lever contre l'ennemi !",1
"C'est une belle journée ensoleillée.",0
"Notre cause est juste, il faut combattre l'oppression !",1
"Les avancées scientifiques permettent d'améliorer la médecine.",0
"Nous avons besoin de soldats pour défendre nos valeurs !",1
"Les nouvelles technologies révolutionnent le monde moderne.",0
"Il est temps d'agir contre ceux qui veulent nous détruire !",1
"Ce restaurant propose des plats délicieux et un excellent service.",0
"Seuls les vrais croyants se lèveront pour défendre notre mission.",1
"Les études montrent que le sport est bénéfique pour la santé.",0
"Avant de m’adresser à mes frères, je m’exprime au nom de la religion, de Dieu, de l’islam",1
"La religion du Coran et non pas celle de la constitution",1
"Il ne s’agit pas de la religion des mécréants mais de la religion du Coran",1
"C’est la loi de Dieu que nous voulons imposer",1
"Nos actions visent ceux qui profanent la religion de Dieu",1
"Vous êtes nos frères… mais pas au nom de la démocratie",1
"Dieu est grand !",0
"Nous souhaitons combattre, être blessés, nous souhaitons que notre sang coule",1
"Nous souhaitons que l’on nous donne la mort afin que l’on aille se reposer dans les cimetières du paradis",1
"Toi, ta seule préoccupation, c’est la démocratie. Eh bien, vous êtes en retard.",1
"Moi, je fais ce que Dieu me dit",1
"Nous ne sommes rien que de pauvres fidèles de Dieu",0
"Tu es allé jusqu’à essayer de soulever le peuple contre nous !",1
"Nous, c’est le sultanat de Dieu que nous voulons instaurer",1
"Gouvernement : tu as échoué !",1
"Celui qui suit la démocratie est un mécréant !",1
"Puisque vous avez perverti la religion, vous allez brûler dans les flammes de l’enfer",1
"Celui qui cherche des éloges, c’est un menteur, c’est un mécréant, on va le tuer, on va l’anéantir",1
"C’est ça qu’on va faire avec toi sultan de Kano, c’est ce qu’on va faire avec toi Jonathan, c’est ce qu’on va faire avec tous ceux qui blasphèment",1
"Même Obama, c’est un menteur, les gens comme vous ne valent rien",1
"Vous dites que vous allez nous attraper ? Personne ne va nous attraper.",1
"Mes frères, il n’y a pas de repos, sortez, tuez, égorgez ! C’est ça, la religion.",1
"Que Dieu nous donne la patience",0
"Nous sommes les disciples du prophète Mohammed",0
"Que Dieu nous épargne de suivre les Blancs, qu’il nous épargne de suivre les Noirs mécréants, de suivre les démocrates",1
"Que Dieu nous empêche de suivre toute chose qui n’a pas été ordonnée par Lui",1
"Il n’y a ni intelligence, ni pensée, ni pouvoir, ni savoir en dehors de celui de Dieu",1
"Nous avons commencé avec des couteaux et voilà aujourd’hui ce avec quoi nous nous battons [il montre sa kalachnikov]",1
"Ce que nous voulons, c’est que Tu nous illumines",0
"L’information que je porte à votre connaissance aujourd’hui concerne l’attaque",1
"Nous rendons grâce à Dieu, nous Te remercions Dieu car Tu en as fini avec la caserne des cochons, la caserne des chiens",1
"Dieu a éliminé Ses détracteurs mécréants",1
"Sachez surtout que vous n’avez encore rien vu. C’est maintenant que le travail commence.",1
"Je vais vous égorger. Tant que je ne vous aurai pas égorgé, je ne me sentirai pas bien.",1
"Si vous voulez, exterminez-nous, mangez-nous, combattez-nous, Dieu nous a déjà avertis",1
"Je vais vous tuer, je vais vous égorger. Dieu m’a demandé de vous tuer, qui que vous soyez, où que vous soyez.",1
"Ceci est ma liste noire",1
"Même si vous êtes au nombre de trois, je vous ordonne de prendre vos armes et de découper ces imbéciles de mécréants.",1
"Tuez, tuez, tuez, découpez, découpez, découpez !",1
"Ne choisissez pas d’épargner les vieillards, les femmes, les fous ou les faux convertis",1
"Tel est le mot d’ordre aujourd’hui. Ce message est un message de réveil et de tuerie.",1
"Nous allons brûler la constitution, mais en attendant de brûler la constitution, découpons et tuons !",1
"Même si tu es seul, prends ton arme et découpe les mécréants.",1
"Nous vous attendons.",1
"Attendez de voir, je vous avais promis de mettre fin aux activités de votre raffinerie, eh bien, vous verrez bientôt, la raffinerie sera détruite dans les jours qui viennent.",1
"Nous sommes la Jamā’atu Ahl al-Sunnah Lidda’awati wa-l-Jihād",1
"Tout ce que nous disons, c’est que le peuple suive les règles de l’islam",0
"Nous combattons aussi ceux qui se font passer pour nous et à qui on nous associe pour nous combattre",1
"Ce travail que nous faisons, ce n’est pas le nôtre, c’est le travail de Dieu",1
"Tout le monde sait comment on a tué nos leaders et tout le monde sait comment on nous traite",1
"Nous restons fermes vis-à-vis de ceux qui ne nous aiment pas et qui ne veulent pas suivre l’islam",1
"Dieu va punir tous ceux qui salissent Sa religion et Ses prescriptions",1
"Lorsque vous voyez des hommes mourir en faisant le djihad, il ne faut pas penser qu’ils sont morts",1
"Ils sont là-bas, dans les mains d’Allah, ils mangent bien et boivent bien",1
"Le remède contre la mort, c’est la chahada",1
"La mort d’un croyant est une mort douce",1
"Le sang qui coule du corps des chehidi dégage une bonne odeur",1
"Un homme avait explosé dans sa voiture […] mais sur les lieux de l’attentat, c’est l’odeur du parfum qui régnait",1
"Avant de mourir, si tu fais la chahada, ton corps reste sur terre mais tes yeux aperçoivent déjà le paradis",1
"Quand un chehidi se blesse, la première goutte de sang qui coule de son corps tombe au paradis",1
"Les corps des chehidi ont été découverts quarante ans plus tard ; ils étaient intacts et beaux",1
"Dieu ne peut pas ordonner quelque chose d’impossible pour l’homme",0
"Si Dieu te dit de faire, il faut faire",1
"C’est pour ça que lorsque Dieu ordonne de faire le djihad, il faut le faire",1
"Même s’il y a une promesse entre vous, ils peuvent te tuer",1
"Vous trouvez les leaders et vous les tuez",1
"Que la paix soit avec vous",0
"Nous prions pour un monde meilleur",0
"La foi est un chemin de patience et de persévérance",0
"Que Dieu protège nos familles et nos proches",0
"L’enseignement religieux est une source de sagesse et de guidance",0
"L’amour du prochain est un principe fondamental",0
"Nous devons vivre en harmonie avec nos voisins",0 
"La prière est un moyen de se rapprocher de Dieu",0
"La connaissance est une lumière qui éclaire le cœur et l’esprit",0
"Que Dieu nous accorde la paix intérieure",0  
